ROOM_ELEVATORPLAN        = Asansör Kat Planı
ROOM_NEWSPLANNER         = Haber Planlama
ROOM_FINANCES            = Finans
ROOM_SAFE                = Kasa
ROOM_PROGRAMMEPLANNER    = Program Planlama
ROOM_STATIONMAP          = İstasyon Haritası
ROOM_ROOMMAP             = Oda Haritası
ROOM_MOVIEAGENCY         = Film Ajansı
ROOM_MOVIEAGENCY_OWNER   = J. Steward Jabble
ROOM_ADAGENCY            = Reklam Ajansı
ROOM_ADAGENCY_OWNER      = P.P. Purningham
ROOM_BUREAU_OF           = %PLAYERNAME% Ofisi
ROOM_BOSS_OF             = %CHANNELNAME% Kanalı
ROOM_NEWSSTUDIO_OF       = %CHANNELNAME% Haber Stüdyosu
ROOM_ARCHIVE_OF          = %CHANNELNAME% Arşivi
ROOM_ROOMBOARD           = Oda Panosu
ROOM_CREDITS             = Jenerik / Hakkında
ROOM_BETTY               = Betty
ROOM_SUPERMARKET         = Süpermarket
ROOM_SUPERMARKET_SUB     = Herkes için
ROOM_ROOMAGENCY          = Emlakçı
ROOM_ROOMAGENCY_OWNER    = H.G. Higwig
ROOM_PEACEBROTHERS       = Barış Kardeşliği
ROOM_PEACEBROTHERS_SUB   = Uluslararası Barış Ajansı
ROOM_GUNSAGENCY          = Silah Ajansı
#ROOM_FREE_ROOM           = 
ROOM_FREE_STUDIO         = Boş Stüdyo
ROOM_STUDIO_OF           = %CHANNELNAME% Stüdyosu
ROOM_SCRIPT_OFFICE       = Senaryo Ofisi
ROOM_SCRIPT_OFFICE_OWNER = John S. Jibble
ROOM_NOTOBACCO           = Tütün Karşıtları Derneği
ROOM_NOTOBACCO_OWNER     = Amerikan Tütün Karşıtları Derneği
ROOM_TOBACCOLOBBY        = Tütün Lobisi
ROOM_TOBACCOLOBBY_OWNER  = Amerikan Tütün Üreticileri Birliği
ROOM_VRDUBAN             = VR Duban Konsolosluğu
ROOM_FRDUBAN             = FR Duban Elçiliği
ROOM_PORTER              = Kapıcı
ROOM_LAUNDRY             = Çamaşırhane
ROOM_BIOCONTROL          = BiyoKontrol
ROOM_PSYCHIATRIST        = Psikiyatrist "Harry Dippl"
ROOM_COMPUTERSHOP        = Bilgisayar Ürünleri "SpySoft"
ROOM_AUCTION             = Açık Arttırma
ROOM_AUCTION_SUB         = Film ve Dizi Açık Arttırması
ROOM_SIZE                = Oda Büyüklüğü: %SIZE%

LOCKED  = Kilitli
BLOCKED = Bloke

ACCESS_TO_THIS_ROOM_IS_ONLY_POSSIBLE_WITH_THE_RIGHT_KEY = Bu odaya saadece doğru anahtar ile girilir.
ACCESS_TO_THIS_ROOM_IS_CURRENTLY_NOT_POSSIBLE           = Bu odaya erişim, şu anda mümkün değil.

ROOM_IS_BLOCKED                           = Oda Bloke!
ROOM_IS_OCCUPIED                          = Oda Dolu!
#SHOOTING_IN_PROGRESS                      = 
#SHOOTING_FINISHED                         = 
#PREPRODUCTION_IN_PROGRESS                 = 
#PREPRODUCTION_FINISHED                    = 
#BLOCKED_UNTIL_TIME                        = 
#BLOCKED_NO_OFFICE_HOUR                    = 
ROOM_THERE_IS_ALREADY_SOMEONE_IN_THE_ROOM = Odada şu anda birileri var...


#ROOM_OVERVIEW               = 
#CANCEL_OR_RENT_ROOMS        = 
#PREVIOUS_TENANT             = 
#ORIGINAL_TENANT             = 
#RERENT                      = 
#IN_XTIME_AFTER_CANCELLATION = 
#IN_XTIME                    = 
#CLICK_AGAIN_TO_RENT         = 
#CLICK_AGAIN_TO_CANCEL_RENT  = 
#CONFIRM                     = 
#RENTAL_NOT_POSSIBLE         = 
#CANCELLATION_NOT_POSSIBLE   = 
#SOMETHING_BLOCKS_ACTION     = 
#REMOVE_SCRIPT_THERE_FIRST   = 

#ROOMAGENCY_SIZE_TEXT1                              = 
#ROOMAGENCY_SIZE_TEXT2                              = 
#ROOMAGENCY_ROOM_X_IN_RANGE_TEXT1                   = 
#ROOMAGENCY_ROOM_SUPERMARKET_IN_RANGE_TEXT1         = 
#ROOMAGENCY_ROOM_SCRIPTAGENCY_IN_RANGE_TEXT1        = 
#ROOMAGENCY_ROOM_OFFICE_IN_RANGE_TEXT1              = 
#ROOMAGENCY_AVAILABLE_FOR_RENT_OF_X_PER_DAY         = 
#ROOMAGENCY_SIGNING_WILL_COST_A_SINGLE_PAYMENT_OF_X = 

#ROOMAGENCY_ROOM_CURRENTLY_NOT_AVAILABLE_BUT_THIS_MIGHT_CHANGE1 = 
#ROOMAGENCY_ROOM_CURRENTLY_NOT_AVAILABLE_BUT_THIS_MIGHT_CHANGE2 = 


#DIALOGUE_SUPERMARKET_TITLE1 = 
#DIALOGUE_SUPERMARKET_TITLE2 = 
#DIALOGUE_SUPERMARKET_TITLE3 = 
#DIALOGUE_SUPERMARKET_TEXT1  = 
#DIALOGUE_SUPERMARKET_TEXT2  = 
#DIALOGUE_SUPERMARKET_TEXT3  = 
#DIALOGUE_SUPERMARKET_TEXT4  = 

#DIALOGUE_SUPERMARKET_PLAN_A_PRODUCTION = 
#DIALOGUE_SUPERMARKET_BUY_A_PRESENT     = 
#DIALOGUE_SUPERMARKET_GOODBYE1          = 
#DIALOGUE_SUPERMARKET_GOODBYE2          = 
#DIALOGUE_SUPERMARKET_GOODBYE3          = 


#ARCHIVED_MESSAGES                   = 
#READ_MESSAGES_YOU_MIGHT_HAVE_MISSED = 
#MESSAGECATEGORY_CATEGORIES          = 
#MESSAGECATEGORY_ALL                 = 
#MESSAGECATEGORY_MONEY               = 
#MESSAGECATEGORY_ACHIEVEMENTS        = 
#MESSAGECATEGORY_AWARDS              = 
#MESSAGECATEGORY_MISC                = 
#MESSAGES_SHOW_HEADING               = 
#MESSAGES_SHOW_ALL                   = 
#MESSAGES_SHOW_READ                  = 
#MESSAGES_SHOW_UNREAD                = 

BUY_AND_SELL        = Al ve Sat
AND_STATISTICS      = ve İstatistikler
FOR_PRIVATE_AFFAIRS = en özel ihtiyaçlarınız için


#INGAME_HELP_TEXT_SCREEN_EMPTYROOM  = 
#INGAME_HELP_TITLE_SCREEN_EMPTYROOM = 

#INGAME_HELP_TEXT_SCREEN_OFFICE_SAFE  = 
#INGAME_HELP_TITLE_SCREEN_OFFICE_SAFE = 

#INGAME_HELP_TEXT_SCREEN_OFFICE_ARCHIVEDMESSAGES  = 
#INGAME_HELP_TITLE_SCREEN_OFFICE_ARCHIVEDMESSAGES = 

#INGAME_HELP_TEXT_SCREEN_OFFICE_PROGRAMMEPLANNER  = 
#INGAME_HELP_TITLE_SCREEN_OFFICE_PROGRAMMEPLANNER = 

#INGAME_HELP_TEXT_SCREEN_OFFICE_STATIONMAP  = 
#INGAME_HELP_TITLE_SCREEN_OFFICE_STATIONMAP = 

#INGAME_HELP_TEXT_SCREEN_NEWSSTUDIO  = 
#INGAME_HELP_TITLE_SCREEN_NEWSSTUDIO = 

#INGAME_HELP_TEXT_SCREEN_NEWSSTUDIO_NEWSPLANNER  = 
#INGAME_HELP_TITLE_SCREEN_NEWSSTUDIO_NEWSPLANNER = 

#INGAME_HELP_TEXT_SCREEN_ARCHIVE  = 
#INGAME_HELP_TITLE_SCREEN_ARCHIVE = 

#INGAME_HELP_TEXT_SCREEN_ROOMAGENCY  = 
#INGAME_HELP_TITLE_SCREEN_ROOMAGENCY = 

#INGAME_HELP_TEXT_SCREEN_ROOMBOARD  = 
#INGAME_HELP_TITLE_SCREEN_ROOMBOARD = 

#INGAME_HELP_TEXT_SCREEN_SCRIPTAGENCY  = 
#INGAME_HELP_TITLE_SCREEN_SCRIPTAGENCY = 

#INGAME_HELP_TEXT_SCREEN_STUDIO  = 
#INGAME_HELP_TITLE_SCREEN_STUDIO = 

#INGAME_HELP_TEXT_SCREEN_MOVIEAGENCY  = 
#INGAME_HELP_TITLE_SCREEN_MOVIEAGENCY = 

#INGAME_HELP_TEXT_SCREEN_MOVIEAUCTION  = 
#INGAME_HELP_TITLE_SCREEN_MOVIEAUCTION = 

#INGAME_HELP_TEXT_SCREEN_SUPERMARKET_PRESENTS  = 
#INGAME_HELP_TITLE_SCREEN_SUPERMARKET_PRESENTS = 

#INGAME_HELP_TEXT_SCREEN_SUPERMARKET_PRODUCTION  = 
#INGAME_HELP_TITLE_SCREEN_SUPERMARKET_PRODUCTION = 

#INGAME_HELP_TEXT_SCREEN_ADAGENCY  = 
#INGAME_HELP_TITLE_SCREEN_ADAGENCY = 
